,county,year,race,value
300,St. John the Baptist Parish,2006,White alone,44852
301,St. John the Baptist Parish,2007,White alone,43370
302,St. John the Baptist Parish,2008,White alone,42136
303,St. John the Baptist Parish,2009,White alone,41192
304,St. John the Baptist Parish,2010,White alone,39884
305,St. John the Baptist Parish,2011,White alone,39152
306,St. John the Baptist Parish,2012,White alone,38328
307,St. John the Baptist Parish,2013,White alone,36836
308,St. John the Baptist Parish,2014,White alone,36444
309,St. John the Baptist Parish,2015,White alone,35836
310,St. John the Baptist Parish,2016,White alone,35180
311,St. John the Baptist Parish,2017,White alone,34464
312,St. John the Baptist Parish,2018,White alone,33526
313,St. John the Baptist Parish,2019,White alone,32726
314,St. John the Baptist Parish,2020,White alone,31992
315,St. Tammany Parish,2000,White alone,337478
316,St. Tammany Parish,2001,White alone,342142
317,St. Tammany Parish,2002,White alone,349328
318,St. Tammany Parish,2003,White alone,356988
319,St. Tammany Parish,2004,White alone,365226
320,St. Tammany Parish,2005,White alone,373526
321,St. Tammany Parish,2006,White alone,382832
322,St. Tammany Parish,2007,White alone,386840
323,St. Tammany Parish,2008,White alone,391042
324,St. Tammany Parish,2009,White alone,393720
325,St. Tammany Parish,2010,White alone,398554
326,St. Tammany Parish,2011,White alone,402008
327,St. Tammany Parish,2012,White alone,405108
328,St. Tammany Parish,2013,White alone,409024
329,St. Tammany Parish,2014,White alone,414314
330,St. Tammany Parish,2015,White alone,419602
331,St. Tammany Parish,2016,White alone,424672
332,St. Tammany Parish,2017,White alone,429268
333,St. Tammany Parish,2018,White alone,431968
334,St. Tammany Parish,2019,White alone,434794
335,St. Tammany Parish,2020,White alone,435952
336,Tangipahoa Parish,2000,White alone,141690
337,Tangipahoa Parish,2001,White alone,142694
338,Tangipahoa Parish,2002,White alone,143440
339,Tangipahoa Parish,2003,White alone,144682
340,Tangipahoa Parish,2004,White alone,146288
341,Tangipahoa Parish,2005,White alone,148112
342,Tangipahoa Parish,2006,White alone,156260
343,Tangipahoa Parish,2007,White alone,158770
344,Tangipahoa Parish,2008,White alone,160898
345,Tangipahoa Parish,2009,White alone,162204
346,Tangipahoa Parish,2010,White alone,163666
347,Tangipahoa Parish,2011,White alone,165154
348,Tangipahoa Parish,2012,White alone,166410
349,Tangipahoa Parish,2013,White alone,168982
350,Tangipahoa Parish,2014,White alone,170614
351,Tangipahoa Parish,2015,White alone,172762
352,Tangipahoa Parish,2016,White alone,175148
353,Tangipahoa Parish,2017,White alone,176920
354,Tangipahoa Parish,2018,White alone,178920
355,Tangipahoa Parish,2019,White alone,179908
356,Tangipahoa Parish,2020,White alone,182222
357,Washington Parish,2000,White alone,59318
358,Washington Parish,2001,White alone,59542
359,Washington Parish,2002,White alone,59758
360,Washington Parish,2003,White alone,59964
361,Washington Parish,2004,White alone,60392
362,Washington Parish,2005,White alone,60992
363,Washington Parish,2006,White alone,60682
364,Washington Parish,2007,White alone,62188
365,Washington Parish,2008,White alone,63032
366,Washington Parish,2009,White alone,63820
367,Washington Parish,2010,White alone,63454
368,Washington Parish,2011,White alone,63542
369,Washington Parish,2012,White alone,62954
370,Washington Parish,2013,White alone,62848
371,Washington Parish,2014,White alone,62478
372,Washington Parish,2015,White alone,62506
373,Washington Parish,2016,White alone,62434
374,Washington Parish,2017,White alone,62746
375,Washington Parish,2018,White alone,62660
376,Washington Parish,2019,White alone,62064
377,Washington Parish,2020,White alone,61426
378,West Baton Rouge Parish,2000,White alone,27300
379,West Baton Rouge Parish,2001,White alone,27336
380,West Baton Rouge Parish,2002,White alone,27424
381,West Baton Rouge Parish,2003,White alone,27458
382,West Baton Rouge Parish,2004,White alone,27618
383,West Baton Rouge Parish,2005,White alone,27300
384,West Baton Rouge Parish,2006,White alone,27614
385,West Baton Rouge Parish,2007,White alone,28214
386,West Baton Rouge Parish,2008,White alone,28266
387,West Baton Rouge Parish,2009,White alone,28370
388,West Baton Rouge Parish,2010,White alone,29000
389,West Baton Rouge Parish,2011,White alone,29126
390,West Baton Rouge Parish,2012,White alone,29338
391,West Baton Rouge Parish,2013,White alone,29742
392,West Baton Rouge Parish,2014,White alone,30138
393,West Baton Rouge Parish,2015,White alone,30320
394,West Baton Rouge Parish,2016,White alone,30576
395,West Baton Rouge Parish,2017,White alone,30722
396,West Baton Rouge Parish,2018,White alone,30656
397,West Baton Rouge Parish,2019,White alone,30570
398,West Baton Rouge Parish,2020,White alone,30620
399,West Feliciana Parish,2000,White alone,14778
400,West Feliciana Parish,2001,White alone,14830
401,West Feliciana Parish,2002,White alone,15064
402,West Feliciana Parish,2003,White alone,15356
403,West Feliciana Parish,2004,White alone,15406
404,West Feliciana Parish,2005,White alone,15770
405,West Feliciana Parish,2006,White alone,16052
406,West Feliciana Parish,2007,White alone,16174
407,West Feliciana Parish,2008,White alone,16336
408,West Feliciana Parish,2009,White alone,16372
409,West Feliciana Parish,2010,White alone,16428
410,West Feliciana Parish,2011,White alone,16366
411,West Feliciana Parish,2012,White alone,16408
412,West Feliciana Parish,2013,White alone,16386
413,West Feliciana Parish,2014,White alone,16298
414,West Feliciana Parish,2015,White alone,16364
415,West Feliciana Parish,2016,White alone,16270
416,West Feliciana Parish,2017,White alone,16492
417,West Feliciana Parish,2018,White alone,16658
418,West Feliciana Parish,2019,White alone,16722
419,West Feliciana Parish,2020,White alone,16580
420,Ascension Parish,2000,Black or African American alone,31562
421,Ascension Parish,2001,Black or African American alone,32168
422,Ascension Parish,2002,Black or African American alone,32694
423,Ascension Parish,2003,Black or African American alone,33314
424,Ascension Parish,2004,Black or African American alone,34212
425,Ascension Parish,2005,Black or African American alone,35544
426,Ascension Parish,2006,Black or African American alone,41658
427,Ascension Parish,2007,Black or African American alone,43696
428,Ascension Parish,2008,Black or African American alone,45496
429,Ascension Parish,2009,Black or African American alone,46808
430,Ascension Parish,2010,Black or African American alone,48306
431,Ascension Parish,2011,Black or African American alone,49442
432,Ascension Parish,2012,Black or African American alone,50650
433,Ascension Parish,2013,Black or African American alone,51942
434,Ascension Parish,2014,Black or African American alone,53390
435,Ascension Parish,2015,Black or African American alone,54616
436,Ascension Parish,2016,Black or African American alone,56004
437,Ascension Parish,2017,Black or African American alone,57350
438,Ascension Parish,2018,Black or African American alone,58988
439,Ascension Parish,2019,Black or African American alone,60898
440,Ascension Parish,2020,Black or African American alone,62438
441,Caddo Parish,2000,Black or African American alone,224884
442,Caddo Parish,2001,Black or African American alone,224522
443,Caddo Parish,2002,Black or African American alone,224734
444,Caddo Parish,2003,Black or African American alone,225414
445,Caddo Parish,2004,Black or African American alone,226940
446,Caddo Parish,2005,Black or African American alone,228072
447,Caddo Parish,2006,Black or African American alone,236950
448,Caddo Parish,2007,Black or African American alone,236090
449,Caddo Parish,2008,Black or African American alone,237600
450,Caddo Parish,2009,Black or African American alone,239334
451,Caddo Parish,2010,Black or African American alone,242430
452,Caddo Parish,2011,Black or African American alone,244786
453,Caddo Parish,2012,Black or African American alone,246780
454,Caddo Parish,2013,Black or African American alone,246886
455,Caddo Parish,2014,Black or African American alone,245980
456,Caddo Parish,2015,Black or African American alone,246228
457,Caddo Parish,2016,Black or African American alone,245668
458,Caddo Parish,2017,Black or African American alone,244198
459,Caddo Parish,2018,Black or African American alone,242416
460,Caddo Parish,2019,Black or African American alone,240806
461,Caddo Parish,2020,Black or African American alone,238702
462,East Baton Rouge Parish,2000,Black or African American alone,332450
463,East Baton Rouge Parish,2001,Black or African American alone,334144
464,East Baton Rouge Parish,2002,Black or African American alone,336888
465,East Baton Rouge Parish,2003,Black or African American alone,341752
466,East Baton Rouge Parish,2004,Black or African American alone,347012
467,East Baton Rouge Parish,2005,Black or African American alone,351062
468,East Baton Rouge Parish,2006,Black or African American alone,388724
469,East Baton Rouge Parish,2007,Black or African American alone,392204
470,East Baton Rouge Parish,2008,Black or African American alone,393432
471,East Baton Rouge Parish,2009,Black or African American alone,398398
472,East Baton Rouge Parish,2010,Black or African American alone,401312
473,East Baton Rouge Parish,2011,Black or African American alone,404590
474,East Baton Rouge Parish,2012,Black or African American alone,408140
475,East Baton Rouge Parish,2013,Black or African American alone,410758
476,East Baton Rouge Parish,2014,Black or African American alone,413382
477,East Baton Rouge Parish,2015,Black or African American alone,413628
478,East Baton Rouge Parish,2016,Black or African American alone,415886
479,East Baton Rouge Parish,2017,Black or African American alone,415430
480,East Baton Rouge Parish,2018,Black or African American alone,415464
481,East Baton Rouge Parish,2019,Black or African American alone,416196
482,East Baton Rouge Parish,2020,Black or African American alone,416494
483,East Feliciana Parish,2000,Black or African American alone,20046
484,East Feliciana Parish,2001,Black or African American alone,19512
485,East Feliciana Parish,2002,Black or African American alone,19180
486,East Feliciana Parish,2003,Black or African American alone,18764
487,East Feliciana Parish,2004,Black or African American alone,18394
488,East Feliciana Parish,2005,Black or African American alone,17968
489,East Feliciana Parish,2006,Black or African American alone,18758
490,East Feliciana Parish,2007,Black or African American alone,18486
491,East Feliciana Parish,2008,Black or African American alone,18554
492,East Feliciana Parish,2009,Black or African American alone,18432
493,East Feliciana Parish,2010,Black or African American alone,18104
494,East Feliciana Parish,2011,Black or African American alone,17934
495,East Feliciana Parish,2012,Black or African American alone,17666
496,East Feliciana Parish,2013,Black or African American alone,17488
497,East Feliciana Parish,2014,Black or African American alone,17420
498,East Feliciana Parish,2015,Black or African American alone,17248
499,East Feliciana Parish,2016,Black or African American alone,17110
500,East Feliciana Parish,2017,Black or African American alone,16770
501,East Feliciana Parish,2018,Black or African American alone,16580
502,East Feliciana Parish,2019,Black or African American alone,16340
503,East Feliciana Parish,2020,Black or African American alone,15974
504,Iberville Parish,2000,Black or African American alone,33214
505,Iberville Parish,2001,Black or African American alone,33050
506,Iberville Parish,2002,Black or African American alone,33016
507,Iberville Parish,2003,Black or African American alone,32822
508,Iberville Parish,2004,Black or African American alone,32212
509,Iberville Parish,2005,Black or African American alone,32082
510,Iberville Parish,2006,Black or African American alone,33652
511,Iberville Parish,2007,Black or African American alone,33678
512,Iberville Parish,2008,Black or African American alone,33596
513,Iberville Parish,2009,Black or African American alone,33002
514,Iberville Parish,2010,Black or African American alone,33024
515,Iberville Parish,2011,Black or African American alone,32916
516,Iberville Parish,2012,Black or African American alone,32810
517,Iberville Parish,2013,Black or African American alone,32730
518,Iberville Parish,2014,Black or African American alone,32468
519,Iberville Parish,2015,Black or African American alone,32388
520,Iberville Parish,2016,Black or African American alone,32128
521,Iberville Parish,2017,Black or African American alone,32142
522,Iberville Parish,2018,Black or African American alone,31920
523,Iberville Parish,2019,Black or African American alone,31622
524,Iberville Parish,2020,Black or African American alone,31002
525,Jefferson Parish,2000,Black or African American alone,209618
526,Jefferson Parish,2001,Black or African American alone,214284
527,Jefferson Parish,2002,Black or African American alone,219238
528,Jefferson Parish,2003,Black or African American alone,224420
529,Jefferson Parish,2004,Black or African American alone,230888
530,Jefferson Parish,2005,Black or African American alone,235504
531,Jefferson Parish,2006,Black or African American alone,219604
532,Jefferson Parish,2007,Black or African American alone,230860
533,Jefferson Parish,2008,Black or African American alone,231774
534,Jefferson Parish,2009,Black or African American alone,231926
535,Jefferson Parish,2010,Black or African American alone,231894
536,Jefferson Parish,2011,Black or African American alone,232454
537,Jefferson Parish,2012,Black or African American alone,233440
538,Jefferson Parish,2013,Black or African American alone,234406
539,Jefferson Parish,2014,Black or African American alone,235828
540,Jefferson Parish,2015,Black or African American alone,237730
541,Jefferson Parish,2016,Black or African American alone,240676
542,Jefferson Parish,2017,Black or African American alone,242892
543,Jefferson Parish,2018,Black or African American alone,244302
544,Jefferson Parish,2019,Black or African American alone,246324
545,Jefferson Parish,2020,Black or African American alone,247682
546,Livingston Parish,2000,Black or African American alone,7914
547,Livingston Parish,2001,Black or African American alone,8410
548,Livingston Parish,2002,Black or African American alone,9078
549,Livingston Parish,2003,Black or African American alone,9456
550,Livingston Parish,2004,Black or African American alone,9842
551,Livingston Parish,2005,Black or African American alone,10122
552,Livingston Parish,2006,Black or African American alone,11410
553,Livingston Parish,2007,Black or African American alone,11822
554,Livingston Parish,2008,Black or African American alone,12656
555,Livingston Parish,2009,Black or African American alone,12894
556,Livingston Parish,2010,Black or African American alone,13254
557,Livingston Parish,2011,Black or African American alone,13924
558,Livingston Parish,2012,Black or African American alone,14692
559,Livingston Parish,2013,Black or African American alone,15560
560,Livingston Parish,2014,Black or African American alone,15986
561,Livingston Parish,2015,Black or African American alone,16584
562,Livingston Parish,2016,Black or African American alone,17780
563,Livingston Parish,2017,Black or African American alone,17844
564,Livingston Parish,2018,Black or African American alone,18728
565,Livingston Parish,2019,Black or African American alone,20170
566,Livingston Parish,2020,Black or African American alone,21728
567,Orleans Parish,2000,Black or African American alone,657530
568,Orleans Parish,2001,Black or African American alone,660136
569,Orleans Parish,2002,Black or African American alone,662592
570,Orleans Parish,2003,Black or African American alone,665006
571,Orleans Parish,2004,Black or African American alone,665476
572,Orleans Parish,2005,Black or African American alone,665336
573,Orleans Parish,2006,Black or African American alone,270490
574,Orleans Parish,2007,Black or African American alone,324992
575,Orleans Parish,2008,Black or African American alone,369672
576,Orleans Parish,2009,Black or African American alone,401016
577,Orleans Parish,2010,Black or African American alone,423676
578,Orleans Parish,2011,Black or African American alone,440098
579,Orleans Parish,2012,Black or African American alone,450464
580,Orleans Parish,2013,Black or African American alone,460860
581,Orleans Parish,2014,Black or African American alone,466110
582,Orleans Parish,2015,Black or African American alone,471498
583,Orleans Parish,2016,Black or African American alone,472636
584,Orleans Parish,2017,Black or African American alone,472514
585,Orleans Parish,2018,Black or African American alone,471608
586,Orleans Parish,2019,Black or African American alone,470146
587,Orleans Parish,2020,Black or African American alone,466426
588,Plaquemines Parish,2000,Black or African American alone,12546
589,Plaquemines Parish,2001,Black or African American alone,12616
590,Plaquemines Parish,2002,Black or African American alone,12648
591,Plaquemines Parish,2003,Black or African American alone,12856
592,Plaquemines Parish,2004,Black or African American alone,13150
593,Plaquemines Parish,2005,Black or African American alone,13058
594,Plaquemines Parish,2006,Black or African American alone,9384
595,Plaquemines Parish,2007,Black or African American alone,9812
596,Plaquemines Parish,2008,Black or African American alone,9510
597,Plaquemines Parish,2009,Black or African American alone,9638
598,Plaquemines Parish,2010,Black or African American alone,9542
599,Plaquemines Parish,2011,Black or African American alone,9712
600,Plaquemines Parish,2012,Black or African American alone,9714
601,Plaquemines Parish,2013,Black or African American alone,9430
602,Plaquemines Parish,2014,Black or African American alone,9486
603,Plaquemines Parish,2015,Black or African American alone,9624
604,Plaquemines Parish,2016,Black or African American alone,9644
605,Plaquemines Parish,2017,Black or African American alone,9788
606,Plaquemines Parish,2018,Black or African American alone,9908
607,Plaquemines Parish,2019,Black or African American alone,9876
608,Plaquemines Parish,2020,Black or African American alone,9832
609,Pointe Coupee Parish,2000,Black or African American alone,17256
610,Pointe Coupee Parish,2001,Black or African American alone,16988
611,Pointe Coupee Parish,2002,Black or African American alone,16738
612,Pointe Coupee Parish,2003,Black or African American alone,16524
613,Pointe Coupee Parish,2004,Black or African American alone,16466
614,Pointe Coupee Parish,2005,Black or African American alone,15998
615,Pointe Coupee Parish,2006,Black or African American alone,17096
616,Pointe Coupee Parish,2007,Black or African American alone,16938
